run,t,x,y,heading,speed,turn_rate,left_spin,right_spin,left_encoder,right_encoder,gyro,left_noise,right_noise,gyro_noise,gyro_bias,severity_left,severity_right,severity_gyro,fault_mode
0,0.56,0.680345,-0.0972306,-0.265847,1.31603,-0.402676,14.0663,12.2543,14.1126,12.3338,-0.388945,0.136265,0.129017,0.0101208,0.000628651,0,0.362677,0,bias
0,0.58,0.705713,-0.104248,-0.2739,1.3211,-0.396944,14.1041,12.3179,14.1126,12.6406,-0.399223,0.136416,0.129271,0.0101191,0.000628651,0,0.362677,0,bias
0,0.6,0.731121,-0.111496,-0.281839,1.32607,-0.391166,14.1408,12.3805,14.4194,12.3338,-0.397978,0.136563,0.129522,0.0101173,0.000628651,0,0.362677,0,bias
0,0.62,0.756567,-0.118971,-0.289663,1.33093,-0.385345,14.1764,12.4423,14.1126,12.6406,-0.383087,0.136705,0.129769,0.0101156,0.000628651,0,0.362677,0,bias
0,0.64,0.782047,-0.126673,-0.297369,1.3357,-0.379486,14.2108,12.5031,14.1126,12.3338,-0.393032,0.136843,0.130013,0.0101138,0.000628651,0,0.362677,0,bias
0,0.66,0.807559,-0.134597,-0.304959,1.34036,-0.373592,14.2442,12.563,14.4194,12.6406,-0.374625,0.136977,0.130252,0.0101121,0.000628651,0,0.362677,0,bias
0,0.68,0.833099,-0.142741,-0.312431,1.34491,-0.367669,14.2764,12.6219,14.1126,12.9474,-0.379985,0.137105,0.130487,0.0101103,0.000628651,0,0.362677,0,bias
0,0.7,0.858664,-0.151103,-0.319784,1.34936,-0.361719,14.3074,12.6797,14.1126,12.9474,-0.383836,0.13723,0.130719,0.0101085,0.000628651,0,0.362677,0,bias
0,0.72,0.884252,-0.159679,-0.327019,1.35369,-0.355747,14.3373,12.7365,14.4194,12.6406,-0.354014,0.137349,0.130946,0.0101067,0.000628651,0,0.362677,0,bias
0,0.74,0.90986,-0.168467,-0.334134,1.35791,-0.349757,14.3661,12.7922,14.4194,12.9474,-0.342114,0.137464,0.131169,0.0101049,0.000628651,0,0.362677,0,bias
