scenario,arm,seed,t,severity,speed_error,speed_sd,nis,bias_left,noise_left,r_ale_left,r_unm_left
bias,analytic + best const R,2000,6.6,0,-0.00556,0.0053701,2.3189,,,,
bias,analytic + best const R,2000,6.7,0,-0.0037469,0.0053701,5.9918,,,,
bias,analytic + best const R,2000,6.8,0,-0.0079318,0.0053701,2.6109,,,,
bias,analytic + best const R,2000,6.9,0,-0.011228,0.0053701,1.5576,,,,
bias,analytic + best const R,2000,7,0,0.002762,0.0053701,4.2362,,,,
bias,analytic + best const R,2000,7.1,0,-0.0017926,0.0053701,1.1028,,,,
bias,analytic + best const R,2000,7.2,0,0.0026154,0.0053701,2.7948,,,,
bias,analytic + best const R,2000,7.3,0,-0.0078821,0.0053701,0.25146,,,,
bias,analytic + best const R,2000,7.4,0,-0.0058421,0.0053701,0.84345,,,,
bias,analytic + best const R,2000,7.5,0,0.0032583,0.0053701,0.68189,,,,
bias,analytic + best const R,2000,7.6,0,0.0026556,0.0053701,3.0511,,,,
bias,analytic + best const R,2000,7.7,0,-0.0046179,0.0053701,0.53154,,,,
bias,analytic + best const R,2000,7.8,0,0.005521,0.0053701,3.2066,,,,
bias,analytic + best const R,2000,7.9,0,0.0077234,0.0053701,2.9908,,,,
bias,analytic + best const R,2000,8,3,0.0036033,0.0053701,15.896,,,,
bias,analytic + best const R,2000,8.1,3,0.028187,0.0053701,16.156,,,,
bias,analytic + best const R,2000,8.2,3,0.033308,0.0053701,3.6646,,,,
bias,analytic + best const R,2000,8.3,3,0.025549,0.0053701,13.073,,,,
bias,analytic + best const R,2000,8.4,3,0.027888,0.0053701,2.2846,,,,
bias,analytic + best const R,2000,8.5,3,0.032845,0.0053701,12.844,,,,
bias,analytic + best const R,2000,8.6,3,0.033107,0.0053701,7.7443,,,,
bias,analytic + best const R,2000,8.7,3,0.027979,0.0053701,6.4789,,,,
bias,analytic + best const R,2000,8.8,3,0.027299,0.0053701,23.559,,,,
bias,analytic + best const R,2000,8.9,3,0.03488,0.0053701,5.6976,,,,
bias,analytic + best const R,2000,9,3,0.024376,0.0053701,2.6705,,,,
bias,analytic + best const R,2000,9.1,3,0.032475,0.0053701,18.644,,,,
bias,analytic + best const R,2000,9.2,3,0.029246,0.0053701,14.115,,,,
bias,analytic + best const R,2000,9.3,3,0.028403,0.0053701,13.449,,,,
bias,analytic + best const R,2000,9.4,3,0.027903,0.0053701,13.793,,,,
bias,analytic + best const R,2000,9.5,3,0.024872,0.0053701,3.2817,,,,
bias,analytic + best const R,2000,9.6,3,0.028242,0.0053701,13.815,,,,
bias,analytic + best const R,2000,9.7,3,0.029797,0.0053701,20.507,,,,
bias,analytic + best const R,2000,9.8,3,0.024747,0.0053701,7.7547,,,,
bias,analytic + best const R,2000,9.9,3,0.029415,0.0053701,20.67,,,,
bias,analytic + best const R,2000,10,3,0.025969,0.0053701,27.536,,,,
bias,analytic + best const R,2000,10.1,3,0.02665,0.0053701,13.786,,,,
bias,analytic + best const R,2000,10.2,3,0.025423,0.0053701,11.428,,,,
bias,analytic + best const R,2000,10.3,3,0.020668,0.0053701,6.9431,,,,
bias,analytic + best const R,2000,10.4,3,0.025653,0.0053701,21.868,,,,
bias,analytic + best const R,2000,10.5,3,0.021848,0.0053701,20.128,,,,
bias,analytic + best const R,2000,10.6,3,0.033626,0.0053701,8.6612,,,,
bias,analytic + best const R,2000,10.7,3,0.031751,0.0053701,10.759,,,,
bias,analytic + best const R,2000,10.8,3,0.033451,0.0053701,15.443,,,,
bias,analytic + best const R,2000,10.9,3,0.030903,0.0053701,25.299,,,,
bias,analytic + best const R,2000,11,3,0.02056,0.0053701,0.82664,,,,
bias,analytic + best const R,2000,11.1,3,0.026036,0.0053701,9.2763,,,,
bias,analytic + best const R,2000,11.2,3,0.035739,0.0053701,6.9022,,,,
bias,analytic + best const R,2000,11.3,3,0.030639,0.0053701,22.847,,,,
bias,analytic + best const R,2000,11.4,3,0.033362,0.0053701,15.442,,,,
bias,analytic + best const R,2000,11.5,3,0.025098,0.0053701,20.917,,,,
bias,analytic + best const R,2000,11.6,3,0.028173,0.0053701,0.25238,,,,
bias,analytic + best const R,2000,11.7,3,0.036875,0.0053701,7.9011,,,,
bias,analytic + best const R,2000,11.8,3,0.028493,0.0053701,14.085,,,,
bias,analytic + best const R,2000,11.9,3,0.028296,0.0053701,2.1422,,,,
bias,analytic + best const R,2000,12,3,0.025967,0.0053701,12.593,,,,
bias,analytic + best const R,2000,12.1,3,0.021498,0.0053701,12.751,,,,
bias,analytic + best const R,2000,12.2,3,0.025459,0.0053701,34.908,,,,
bias,analytic + best const R,2000,12.3,3,0.024032,0.0053701,13.544,,,,
bias,analytic + best const R,2000,12.4,3,0.023627,0.0053701,9.7231,,,,
bias,analytic + best const R,2000,12.5,3,0.032738,0.0053701,9.6807,,,,
bias,analytic + best const R,2000,12.6,3,0.022656,0.0053701,19.771,,,,
bias,analytic + best const R,2000,12.7,3,0.023515,0.0053701,12.91,,,,
bias,analytic + best const R,2000,12.8,3,0.024126,0.0053701,20.977,,,,
bias,analytic + best const R,2000,12.9,3,0.021335,0.0053701,3.9358,,,,
bias,analytic + best const R,2000,13,3,0.032783,0.0053701,19.177,,,,
bias,analytic + best const R,2000,13.1,3,0.03868,0.0053701,22.905,,,,
bias,analytic + best const R,2000,13.2,3,0.031186,0.0053701,8.1951,,,,
bias,analytic + best const R,2000,13.3,3,0.030627,0.0053701,6.4638,,,,
bias,analytic + best const R,2000,13.4,3,0.019728,0.0053701,2.877,,,,
bias,analytic + best const R,2000,13.5,3,0.024131,0.0053701,25.871,,,,
bias,analytic + best const R,2000,13.6,3,0.031262,0.0053701,11.512,,,,
bias,analytic + best const R,2000,13.7,3,0.025118,0.0053701,9.1441,,,,
bias,analytic + best const R,2000,13.8,3,0.023066,0.0053701,10.789,,,,
bias,analytic + best const R,2000,13.9,3,0.021628,0.0053701,5.2187,,,,
bias,analytic + best const R,2000,14,3,0.030031,0.0053701,18.747,,,,
bias,analytic + best const R,2000,14.1,3,0.035671,0.0053701,3.8397,,,,
bias,analytic + best const R,2000,14.2,3,0.033574,0.0053701,15.079,,,,
bias,analytic + best const R,2000,14.3,3,0.026651,0.0053701,9.0136,,,,
bias,analytic + best const R,2000,14.4,3,0.030724,0.0053701,22.84,,,,
bias,analytic + best const R,2000,14.5,3,0.028848,0.0053701,21.718,,,,
bias,analytic + best const R,2000,14.6,3,0.03369,0.0053701,31.105,,,,
bias,analytic + best const R,2000,14.7,3,0.030464,0.0053701,25.717,,,,
bias,analytic + best const R,2000,14.8,3,0.026275,0.0053701,7.2631,,,,
bias,analytic + best const R,2000,14.9,3,0.030465,0.0053701,22.243,,,,
bias,analytic + best const R,2000,15,3,0.022813,0.0053701,9.1691,,,,
bias,analytic + best const R,2000,15.1,3,0.027349,0.0053701,3.0615,,,,
bias,analytic + best const R,2000,15.2,3,0.015974,0.0053701,13.472,,,,
bias,analytic + best const R,2000,15.3,3,0.02104,0.0053701,18.045,,,,
bias,analytic + best const R,2000,15.4,3,0.027177,0.0053701,8.3107,,,,
bias,analytic + best const R,2000,15.5,3,0.017485,0.0053701,20.599,,,,
bias,analytic + best const R,2000,15.6,3,0.028427,0.0053701,25.961,,,,
bias,analytic + best const R,2000,15.7,3,0.035048,0.0053701,4.5637,,,,
bias,analytic + best const R,2000,15.8,3,0.03176,0.0053701,19.229,,,,
bias,analytic + best const R,2000,15.9,3,0.027307,0.0053701,6.6886,,,,
bias,analytic + best const R,2000,16,3,0.03216,0.0053701,9.8461,,,,
bias,analytic + best const R,2000,16.1,3,0.02376,0.0053701,9.6166,,,,
bias,analytic + best const R,2000,16.2,3,0.028621,0.0053701,13.504,,,,
bias,analytic + best const R,2000,16.3,3,0.02395,0.0053701,2.2423,,,,
bias,analytic + best const R,2000,16.4,3,0.026421,0.0053701,25.878,,,,
bias,analytic + best const R,2000,16.5,3,0.02846,0.0053701,19.458,,,,
bias,analytic + best const R,2000,16.6,3,0.031477,0.0053701,4.3413,,,,
bias,analytic + best const R,2000,16.7,3,0.039599,0.0053701,3.5669,,,,
bias,analytic + best const R,2000,16.8,3,0.02269,0.0053701,2.787,,,,
bias,analytic + best const R,2000,16.9,3,0.020651,0.0053701,12.865,,,,
bias,analytic + best const R,2000,17,3,0.02203,0.0053701,6.7521,,,,
bias,analytic + best const R,2000,17.1,3,0.027651,0.0053701,2.9807,,,,
bias,analytic + best const R,2000,17.2,3,0.030422,0.0053701,9.3478,,,,
bias,analytic + best const R,2000,17.3,3,0.022086,0.0053701,9.6127,,,,
bias,analytic + best const R,2000,17.4,3,0.023329,0.0053701,22.308,,,,
bias,analytic + best const R,2000,17.5,3,0.025812,0.0053701,6.7609,,,,
bias,analytic + best const R,2000,17.6,3,0.027945,0.0053701,5.3831,,,,
bias,analytic + best const R,2000,17.7,3,0.026283,0.0053701,8.7628,,,,
bias,analytic + best const R,2000,17.8,3,0.023293,0.0053701,10.355,,,,
bias,analytic + best const R,2000,17.9,3,0.026838,0.0053701,9.1303,,,,
bias,analytic + best const R,2000,18,3,0.025577,0.0053701,4.72,,,,
bias,analytic + best const R,2000,18.1,3,0.013924,0.0053701,3.2129,,,,
bias,analytic + best const R,2000,18.2,3,0.028077,0.0053701,6.5873,,,,
bias,analytic + best const R,2000,18.3,3,0.024409,0.0053701,3.2391,,,,
bias,analytic + best const R,2000,18.4,3,0.025843,0.0053701,15.479,,,,
bias,analytic + best const R,2000,18.5,3,0.02785,0.0053701,26.033,,,,
bias,analytic + best const R,2000,18.6,3,0.025051,0.0053701,10.433,,,,
bias,analytic + best const R,2000,18.7,3,0.031713,0.0053701,5.0612,,,,
bias,analytic + best const R,2000,18.8,3,0.027222,0.0053701,9.8383,,,,
bias,analytic + best const R,2000,18.9,3,0.032035,0.0053701,11.828,,,,
bias,analytic + best const R,2000,19,3,0.020968,0.0053701,4.1408,,,,
bias,analytic + best const R,2000,19.1,3,0.030071,0.0053701,11.228,,,,
bias,analytic + best const R,2000,19.2,3,0.024165,0.0053701,1.9684,,,,
bias,analytic + best const R,2000,19.3,3,0.025212,0.0053701,34.694,,,,
bias,analytic + best const R,2000,19.4,3,0.030921,0.0053701,7.925,,,,
bias,analytic + best const R,2000,19.5,3,0.026715,0.0053701,15.3,,,,
bias,analytic + best const R,2000,19.6,3,0.028027,0.0053701,7.0329,,,,
bias,analytic + best const R,2000,19.7,3,0.033563,0.0053701,4.8561,,,,
bias,analytic + best const R,2000,19.8,3,0.019663,0.0053701,5.703,,,,
bias,analytic + best const R,2000,19.9,3,0.032996,0.0053701,17.985,,,,
bias,analytic + best const R,2000,20,3,0.030615,0.0053701,4.5175,,,,
bias,analytic + best const R,2000,20.1,3,0.037418,0.0053701,27.148,,,,
bias,analytic + best const R,2000,20.2,3,0.041924,0.0053701,7.8706,,,,
bias,analytic + best const R,2000,20.3,3,0.031071,0.0053701,20.64,,,,
bias,analytic + best const R,2000,20.4,3,0.026988,0.0053701,26.756,,,,
bias,analytic + best const R,2000,20.5,3,0.027468,0.0053701,12.379,,,,
bias,analytic + best const R,2000,20.6,3,0.025844,0.0053701,9.2156,,,,
bias,analytic + best const R,2000,20.7,3,0.025579,0.0053701,12.42,,,,
bias,analytic + best const R,2000,20.8,3,0.036509,0.0053701,16.294,,,,
bias,analytic + best const R,2000,20.9,3,0.025693,0.0053701,21.27,,,,
bias,analytic + best const R,2000,21,3,0.024129,0.0053701,14.592,,,,
bias,analytic + best const R,2000,21.1,3,0.027399,0.0053701,14.455,,,,
bias,analytic + best const R,2000,21.2,3,0.039821,0.0053701,16.715,,,,
bias,analytic + best const R,2000,21.3,3,0.042769,0.0053701,12.923,,,,
bias,analytic + best const R,2000,21.4,3,0.033676,0.0053701,2.4684,,,,
bias,analytic + best const R,2000,21.5,3,0.033465,0.0053701,6.3449,,,,
bias,analytic + best const R,2000,21.6,3,0.021267,0.0053701,5.7815,,,,
bias,analytic + best const R,2000,21.7,3,0.029214,0.0053701,7.8328,,,,
bias,analytic + best const R,2000,21.8,3,0.031404,0.0053701,6.6374,,,,
bias,analytic + best const R,2000,21.9,3,0.019078,0.0053701,17.881,,,,
bias,analytic + best const R,2000,22,3,0.029009,0.0053701,4.0906,,,,
bias,analytic + best const R,2000,22.1,3,0.029101,0.0053701,3.9139,,,,
bias,analytic + best const R,2000,22.2,3,0.024883,0.0053701,12.627,,,,
bias,analytic + best const R,2000,22.3,3,0.027634,0.0053701,18.508,,,,
bias,analytic + best const R,2000,22.4,3,0.024092,0.0053701,9.1924,,,,
bias,analytic + best const R,2000,22.5,3,0.022724,0.0053701,2.9558,,,,
bias,analytic + best const R,2000,22.6,3,0.031229,0.0053701,6.6832,,,,
bias,analytic + best const R,2000,22.7,3,0.034929,0.0053701,15.444,,,,
bias,analytic + best const R,2000,22.8,3,0.023654,0.0053701,6.069,,,,
bias,analytic + best const R,2000,22.9,3,0.026815,0.0053701,11.934,,,,
bias,analytic + best const R,2000,23,3,0.02762,0.0053701,19.747,,,,
bias,analytic + best const R,2000,23.1,3,0.019846,0.0053701,12.686,,,,
bias,analytic + best const R,2000,23.2,3,0.030511,0.0053701,27.335,,,,
bias,analytic + best const R,2000,23.3,3,0.028993,0.0053701,32.628,,,,
bias,analytic + best const R,2000,23.4,3,0.015451,0.0053701,8.2063,,,,
bias,analytic + best const R,2000,23.5,3,0.015671,0.0053701,27.632,,,,
bias,analytic + best const R,2000,23.6,3,0.021228,0.0053701,5.6629,,,,
bias,analytic + best const R,2000,23.7,3,0.027642,0.0053701,9.7327,,,,
bias,analytic + best const R,2000,23.8,3,0.038416,0.0053701,12.136,,,,
bias,analytic + best const R,2000,23.9,3,0.030629,0.0053701,9.5632,,,,
bias,analytic + best const R,2000,24,3,0.025832,0.0053701,11.976,,,,
bias,analytic + best const R,2000,24.1,3,0.034821,0.0053701,2.9955,,,,
bias,analytic + best const R,2000,24.2,3,0.032601,0.0053701,7.9266,,,,
bias,analytic + best const R,2000,24.3,3,0.032644,0.0053701,4.5381,,,,
bias,analytic + best const R,2000,24.4,3,0.023091,0.0053701,12.859,,,,
bias,analytic + best const R,2000,24.5,3,0.033528,0.0053701,24.221,,,,
bias,analytic + best const R,2000,24.6,3,0.032782,0.0053701,3.6117,,,,
bias,analytic + best const R,2000,24.7,3,0.032943,0.0053701,11.348,,,,
bias,analytic + best const R,2000,24.8,3,0.028033,0.0053701,20.676,,,,
bias,analytic + best const R,2000,24.9,3,0.026577,0.0053701,10.037,,,,
bias,analytic + best const R,2000,25,3,0.030269,0.0053701,10.281,,,,
bias,analytic + best const R,2000,25.1,3,0.029115,0.0053701,8.837,,,,
bias,analytic + best const R,2000,25.2,3,0.020103,0.0053701,1.8814,,,,
bias,analytic + best const R,2000,25.3,3,0.032545,0.0053701,5.2589,,,,
bias,analytic + best const R,2000,25.4,3,0.019172,0.0053701,5.9293,,,,
bias,analytic + best const R,2000,25.5,3,0.031516,0.0053701,25.647,,,,
bias,analytic + best const R,2000,25.6,3,0.02754,0.0053701,7.817,,,,
bias,analytic + best const R,2000,25.7,3,0.023335,0.0053701,19.231,,,,
bias,analytic + best const R,2000,25.8,3,0.024434,0.0053701,27.46,,,,
bias,analytic + best const R,2000,25.9,3,0.027586,0.0053701,8.8271,,,,
bias,analytic + best const R,2000,26,3,0.028893,0.0053701,6.7426,,,,
bias,analytic + best const R,2000,26.1,3,0.018873,0.0053701,15.383,,,,
bias,analytic + best const R,2000,26.2,3,0.025562,0.0053701,3.8624,,,,
bias,analytic + best const R,2000,26.3,3,0.027979,0.0053701,18.773,,,,
bias,analytic + best const R,2000,26.4,3,0.032523,0.0053701,4.3334,,,,
bias,analytic + best const R,2000,26.5,3,0.03269,0.0053701,11.001,,,,
bias,analytic + best const R,2000,26.6,3,0.026685,0.0053701,6.0887,,,,
bias,analytic + best const R,2000,26.7,3,0.02726,0.0053701,3.9641,,,,
bias,analytic + best const R,2000,26.8,3,0.032538,0.0053701,29.863,,,,
bias,analytic + best const R,2000,26.9,3,0.025754,0.0053701,3.6446,,,,
bias,analytic + best const R,2000,27,3,0.021651,0.0053701,13.837,,,,
bias,analytic + best const R,2000,27.1,3,0.024941,0.0053701,10.428,,,,
bias,analytic + best const R,2000,27.2,3,0.024403,0.0053701,11.95,,,,
bias,analytic + best const R,2000,27.3,3,0.028951,0.0053701,11.185,,,,
bias,analytic + best const R,2000,27.4,3,0.029495,0.0053701,1.8041,,,,
bias,analytic + best const R,2000,27.5,3,0.019828,0.0053701,4.6453,,,,
bias,analytic + best const R,2000,27.6,3,0.022477,0.0053701,4.1858,,,,
bias,analytic + best const R,2000,27.7,3,0.023618,0.0053701,13.168,,,,
bias,analytic + best const R,2000,27.8,3,0.017485,0.0053701,20.284,,,,
bias,analytic + best const R,2000,27.9,3,0.018089,0.0053701,1.8994,,,,
bias,analytic + best const R,2000,28,3,0.030157,0.0053701,7.321,,,,
bias,analytic + best const R,2000,28.1,3,0.029075,0.0053701,19.02,,,,
bias,analytic + best const R,2000,28.2,3,0.033858,0.0053701,17.185,,,,
bias,analytic + best const R,2000,28.3,3,0.021433,0.0053701,9.0813,,,,
bias,analytic + best const R,2000,28.4,3,0.014122,0.0053701,5.7524,,,,
bias,analytic + best const R,2000,28.5,3,0.020286,0.0053701,13.041,,,,
bias,analytic + best const R,2000,28.6,3,0.026666,0.0053701,8.7079,,,,
bias,analytic + best const R,2000,28.7,3,0.022335,0.0053701,11.896,,,,
bias,analytic + best const R,2000,28.8,3,0.026661,0.0053701,5.2399,,,,
bias,analytic + best const R,2000,28.9,3,0.033789,0.0053701,33.432,,,,
bias,analytic + best const R,2000,29,3,0.029362,0.0053701,7.5293,,,,
bias,analytic + best const R,2000,29.1,3,0.028131,0.0053701,13.981,,,,
bias,analytic + best const R,2000,29.2,3,0.027266,0.0053701,11.075,,,,
bias,analytic + best const R,2000,29.3,3,0.021161,0.0053701,5.9958,,,,
bias,analytic + best const R,2000,29.4,3,0.030982,0.0053701,10.76,,,,
bias,analytic + best const R,2000,29.5,3,0.034639,0.0053701,15.23,,,,
bias,analytic + best const R,2000,29.6,3,0.025234,0.0053701,21.982,,,,
bias,analytic + best const R,2000,29.7,3,0.031298,0.0053701,20.008,,,,
bias,analytic + best const R,2000,29.8,3,0.024037,0.0053701,10.653,,,,
bias,analytic + best const R,2000,29.9,3,0.031685,0.0053701,8.2153,,,,
bias,analytic + best const R,2000,30,3,0.025157,0.0053701,13.398,,,,
bias,analytic + best const R,2000,30.1,3,0.028337,0.0053701,22.009,,,,
bias,analytic + best const R,2000,30.2,3,0.021736,0.0053701,12.321,,,,
bias,analytic + best const R,2000,30.3,3,0.027457,0.0053701,11.626,,,,
bias,analytic + best const R,2000,30.4,3,0.029725,0.0053701,12.685,,,,
bias,analytic + best const R,2000,30.5,3,0.029146,0.0053701,11.413,,,,
bias,analytic + best const R,2000,30.6,3,0.028929,0.0053701,6.0579,,,,
bias,analytic + best const R,2000,30.7,3,0.030997,0.0053701,27.53,,,,
bias,analytic + best const R,2000,30.8,3,0.026932,0.0053701,10.594,,,,
bias,analytic + best const R,2000,30.9,3,0.02768,0.0053701,3.4839,,,,
bias,analytic + best const R,2000,31,3,0.021561,0.0053701,9.512,,,,
bias,analytic + best const R,2000,31.1,3,0.018773,0.0053701,3.6855,,,,
bias,analytic + best const R,2000,31.2,3,0.033358,0.0053701,11.753,,,,
bias,analytic + best const R,2000,31.3,3,0.02851,0.0053701,0.81761,,,,
bias,analytic + best const R,2000,31.4,3,0.031252,0.0053701,19.494,,,,
bias,analytic + best const R,2000,31.5,3,0.030432,0.0053701,24.959,,,,
bias,analytic + best const R,2000,31.6,3,0.024665,0.0053701,4.5931,,,,
bias,analytic + best const R,2000,31.7,3,0.028276,0.0053701,4.919,,,,
bias,analytic + best const R,2000,31.8,3,0.029464,0.0053701,3.398,,,,
bias,analytic + best const R,2000,31.9,3,0.025879,0.0053701,23.161,,,,
bias,analytic + best const R,2000,32,3,0.030072,0.0053701,23.237,,,,
bias,analytic + best const R,2000,32.1,3,0.031884,0.0053701,9.7056,,,,
bias,analytic + best const R,2000,32.2,3,0.023739,0.0053701,11.918,,,,
bias,analytic + best const R,2000,32.3,3,0.022325,0.0053701,24.638,,,,
bias,analytic + best const R,2000,32.4,3,0.031204,0.0053701,5.4965,,,,
bias,analytic + best const R,2000,32.5,3,0.02454,0.0053701,22.391,,,,
bias,analytic + best const R,2000,32.6,3,0.021614,0.0053701,4.9864,,,,
bias,analytic + best const R,2000,32.7,3,0.019247,0.0053701,6.0517,,,,
bias,analytic + best const R,2000,32.8,3,0.027572,0.0053701,1.5727,,,,
bias,analytic + best const R,2000,32.9,3,0.033062,0.0053701,13.004,,,,
bias,analytic + best const R,2000,33,3,0.027316,0.0053701,12.363,,,,
bias,analytic + best const R,2000,33.1,3,0.024998,0.0053701,2.7627,,,,
bias,analytic + best const R,2000,33.2,3,0.023618,0.0053701,7.9859,,,,
bias,analytic + best const R,2000,33.3,3,0.023757,0.0053701,23.531,,,,
bias,analytic + best const R,2000,33.4,3,0.026406,0.0053701,18.753,,,,
bias,analytic + best const R,2000,33.5,3,0.02743,0.0053701,4.3557,,,,
bias,analytic + best const R,2000,33.6,3,0.024818,0.0053701,10.511,,,,
bias,analytic + best const R,2000,33.7,3,0.017267,0.0053701,5.2111,,,,
bias,analytic + best const R,2000,33.8,3,0.013037,0.0053701,8.8707,,,,
bias,analytic + best const R,2000,33.9,3,0.018288,0.0053701,7.4425,,,,
bias,analytic + best const R,2000,34,3,0.024819,0.0053701,11.488,,,,
bias,analytic + best const R,2000,34.1,3,0.025182,0.0053701,14.143,,,,
bias,analytic + best const R,2000,34.2,3,0.031901,0.0053701,6.4728,,,,
bias,analytic + best const R,2000,34.3,3,0.023785,0.0053701,10.835,,,,
bias,analytic + best const R,2000,34.4,3,0.021813,0.0053701,17.051,,,,
bias,analytic + best const R,2000,34.5,3,0.021786,0.0053701,8.4307,,,,
bias,analytic + best const R,2000,34.6,3,0.025951,0.0053701,5.656,,,,
bias,analytic + best const R,2000,34.7,3,0.028674,0.0053701,8.026,,,,
bias,analytic + best const R,2000,34.8,3,0.02827,0.0053701,5.5561,,,,
bias,analytic + best const R,2000,34.9,3,0.029478,0.0053701,14.22,,,,
